generasi,C_con,Gamma_con,Fitness_con,C_best,Gamma_best,Fitness_best
1,43.3948717948718,0.2614822954822955,0.029100000000000004,43.3948717948718,0.2614822954822955,0.029100000000000004
2,47.43931623931624,0.2825641025641026,0.029100000000000004,43.3948717948718,0.2614822954822955,0.029100000000000004
3,12.666666666666668,0.30234188034188036,0.028900000000000003,12.666666666666668,0.30234188034188036,0.028900000000000003
4,39.51794871794872,0.29625641025641025,0.029100000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
5,44.45982905982906,0.28039072039072044,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
6,15.203418803418804,0.26930647130647134,0.028900000000000003,12.666666666666668,0.30234188034188036,0.028900000000000003
7,15.107692307692309,0.23605372405372407,0.029300000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
8,11.051282051282053,0.31103540903540905,0.029100000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
9,34.420512820512826,0.28973626373626377,0.029100000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
10,15.682051282051283,0.3027765567765568,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
11,28.425641025641028,0.29842979242979245,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
12,46.97264957264957,0.2997338217338218,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
13,39.111111111111114,0.2719145299145299,0.029100000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
14,17.034188034188034,0.2560488400488401,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
15,44.92649572649573,0.2793040293040293,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
16,15.837606837606838,0.2795213675213676,0.028900000000000003,12.666666666666668,0.30234188034188036,0.028900000000000003
17,15.526495726495728,0.2773479853479853,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
18,37.6991452991453,0.28604151404151407,0.029100000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
19,47.7982905982906,0.3008205128205128,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
20,36.753846153846155,0.27973870573870574,0.029000000000000004,12.666666666666668,0.30234188034188036,0.028900000000000003
